"ModelID","StrippedCellLineName","ACOXL","ALPK2","AMOT","ATP6AP2","B4GALT6","BICC1","BRAF","C3orf52","CAPNS2","CFAP47","CHFR","CNTN4","CNTNAP3","CNTNAP3B","CNTNAP4","COMMD5","CPLANE1","CSRNP3","CYREN","DACH1","DNAJC10","DNAJC13","EFCAB13","EXOC4","FGF1","FMN1","FTO","GABRA3","GABRQ","GAS7","GBE1","GKAP1","GOSR1","GRIK4","GZMA","IKZF2","KCNAB1","LARP4B","LSAMP","LSM8","LYSMD1","MEPE","MLPH","MNAT1","MROH9","NDUFAF1","OR2A5","OR2L2","OR2L5","OSMR","PAG1","PANK2","PARP8","PDK1","PDS5B","PDZRN3","PHACTR2","PHF6","PLBD1","PLXDC2","PNPT1","POGK","POLR3A","PTGS2","PTPN14","RAP2B","REST","RHNO1","RIPK1","ROBO2","SCAF11","SELE","SHOC2","SLIT2","SLITRK5","SRSF1","SYNJ1","TASP1","THEMIS","TRIM56","TUBB2B","UNC5D","USP3","UTS2B","ZC2HC1B","ZMAT3","ZNF333","ZNF407","ZNF544","ZNF592","ZNF608","ZSWIM2"
"ACH-000001","NIHOVCAR3",-0.369821027457601,0.192347415595643,0.0575540064829037,-0.551743598161388,0.0138375556618544,0.105935962501532,-0.278220648056419,0.219430730611836,0.0253269914668525,0.0786544528040733,-0.118217787869887,-0.0845557422288249,NA,-0.0974737148033788,0.252731013006785,0.100059822669225,0.0553846879708217,-0.0225962146250839,0.122097979872395,-0.150465817261928,-0.272578074427006,-0.0310206117706914,-0.0608051578708007,-0.232956010389641,-0.101354756178584,0.210366635879653,-0.0496165991317654,0.562633529373072,-0.0101740588382401,-0.105106333962839,-0.2184879478382,-0.0488013520309725,-0.738796289672875,0.119042776244454,0.0472109409819562,0.120825427608138,-0.170243491331275,0.0107105465901737,-0.0201539836939602,-2.63309747724475,-0.39148092814321,-0.151887289213038,0.303100743803792,-0.415808836860973,-0.208683207346087,-0.513634470308744,NA,NA,NA,-0.0341843243427186,-0.0581041021407458,-0.343746834746073,-0.216430791269252,0.0308368272614404,0.125778029531371,0.103337311789154,-0.0517838211208997,0.0089733310328964,-0.121350957445064,0.00155748281093215,-1.33644618729829,-0.130526255567724,-2.68975967814291,-0.000102561868336504,0.140157394380759,0.0839407704889434,-0.364648873110703,-0.155431011406089,-0.155018645417589,-0.0717846887085971,-0.22857690035568,-0.199902089356103,-0.266093920301985,0.0211138673788255,0.240318441506275,-2.33693894823713,0.168209330224258,-0.129133799575778,0.0643918741955187,-0.0397909873034369,-0.264608053310953,0.0715734293289332,0.0504312656579512,-0.141847562435648,0.0463263638095352,0.114490856592353,-0.0657149792219081,-0.961146971488951,-0.0711400149539665,-0.0930049243020977,-0.235036281398299,-0.091608232479144
"ACH-000004","HEL",-0.0517576642796035,0.11477379452941,0.0520007362427526,-0.794199015863352,-0.0705508278859185,0.0774934420626011,0.0960985819214652,0.108797748802968,0.175344724531378,0.136637830105619,-0.228497228424116,-0.0294614583223726,0.0413148930046161,-0.141229071659987,0.0439279577194457,0.0782671779628809,0.0573373612413856,0.0194516630427461,-0.111699080744292,-0.162761517382629,-0.169187028590598,-0.176971953702678,-0.143062383791069,-0.523880439840583,0.074721365225093,-0.0681883611258566,-0.206663116860179,0.184710117617346,0.241765746788779,-0.0237495058494192,-0.115372672350766,0.0798087743041347,-0.0661180846093475,0.0502214550631815,-0.297008560951406,0.139176350545171,-0.134413496626675,0.0105966110139972,0.0201394055217072,-1.47929577725265,-0.173464680535763,-0.405836005583834,0.129305346681883,-0.762144071125325,0.194584268698057,-0.387267887035913,0.0546375817133839,-0.069346472966349,-0.188656499141716,0.0655565225666681,-0.0721997119132908,-0.25107172064689,0.30564906590366,-0.09828349957397,0.176562693215141,0.155927861878923,-0.120025435481638,-0.187807851035191,0.2504836407528,0.198624787310319,-0.617278917172647,0.0102908957469903,-2.40094462115245,-0.0299709908913214,0.188534841512007,0.0514056697719275,-0.491945734639468,-0.0780594350928625,-0.0837946498892419,-0.230054557541308,-0.2631515211046,-0.128132581650538,-0.182181664722871,0.16815780994799,-0.214647219190404,-1.37284605110832,0.168170754579021,-0.279209615211554,0.187923648338847,0.0195746958276701,-0.000244597328397794,0.132444070761685,-0.296666090653612,0.0535534069754302,0.0375541050485937,0.139160632787817,-0.170873540985778,-1.02452355138612,-0.0562009933217542,-0.279127029065392,0.0296242872613863,0.114259320354282
"ACH-000005","HEL9217",-0.309232259033005,0.127359384880076,0.0921758622842489,-0.986039928360887,-0.0770584310874692,-0.128537252752491,0.141997852079408,0.100537977165205,0.243473036174289,-0.0164084852137272,-0.0328587477976256,0.0204017828986498,-0.114083555700819,0.192029574950403,0.135997177286945,-0.141266678919721,-0.0320893457677982,-0.177398364585825,-0.242449077932341,-0.259972219050987,-0.315869333946248,-0.295259134705816,-0.133580155058455,-0.708477806865173,0.00926670634994771,0.0478319868695305,0.0613668214254418,0.622759666821003,0.118471427343842,0.094281719053641,0.0425948228038949,0.0659038022765417,-0.221441378014029,0.0716401012729189,-0.499044736752914,0.117001493351229,-0.105665837322861,-0.130262564435522,-0.064234814076388,-1.36836470605101,-0.285707616404741,0.0612059837087172,0.306509832307536,-0.586972576388659,-0.0392970021415733,-0.29441221732632,0.00619112517346457,-0.361525359782007,-0.280912620775502,-0.027624439003329,-0.202091609404163,-0.315937079824793,-0.127954127153671,0.14479328431589,-0.134597029033893,-0.299858587603571,0.148208501007327,-0.213481923545896,0.416779899265746,0.020685126916757,-0.55202496693109,-0.134627741431123,-2.32664233919509,0.0201715790284059,0.151680053737363,0.0166795206385544,-0.151635381063461,-0.0948549041050653,0.208785181816403,-0.239478781026618,-0.386199484089164,-0.175935886213364,-0.00141740708467875,-0.102084988227813,-0.00043072819419631,-1.89202720750086,0.150784531130107,-0.111513947915259,-0.0231323431527258,-0.0881388834261411,-0.0704889163028587,0.0433307106851224,0.0909793769377842,-0.337003576232304,-0.140982706519275,0.209005816708476,-0.155741700975032,-1.14640923511383,-0.25064636832773,-0.298784908428452,0.167978073704637,0.137117082578559
"ACH-000007","LS513",-0.107510614944506,0.157642127106464,0.375680394503919,-0.852368246102964,-0.011423950915294,-0.0564368799608983,-0.013673043261922,-0.0307870742098372,0.207437341814079,0.00916196342737982,-0.366140846300166,-0.0119016141169622,-0.314441828749565,-0.0181945984445,0.104288838138165,-0.25118639251881,-0.182607618417865,0.023506940182576,0.0945147820333122,-1.08655798997156,0.110428077538749,-0.0689531686279952,-0.0142151353620098,-0.282254457510578,-0.182764204638581,0.136926167002783,-0.217477231996738,0.606901953606909,0.190201123573123,0.0261412233820464,-0.286825452232054,0.105107931373792,-0.136607145186263,0.202271186112424,-0.0923963055446097,0.18439044169576,0.0885237087666892,0.150081860268988,0.128534685984785,-1.64942268290995,-0.325750360608361,-0.0671444258335114,0.204210373061402,-0.926391772364267,0.168607976688923,-0.614656553525596,-0.0881410331542313,0.0764965155991637,-0.407060740400743,0.0958597190466141,-0.115362282862278,0.190064590231759,0.0392793552320852,-0.0955792225335309,-0.136382335494301,0.0434350007931192,-0.129872907134218,0.0033766813594765,0.252265815448061,0.208990112913917,-0.80992109997999,-0.102663030516052,-1.61709553689803,-0.0872337306345463,0.0381654401068205,-0.0781262395737295,-0.0289464313455019,-0.139620703677759,0.0225607503574116,-0.128099190017401,-0.583031932229583,0.105124628159578,-0.337648787238137,0.115529289002697,0.157909929495871,-1.45832084386498,0.111172052701906,-0.0500509344755556,0.133558821373853,-0.0185888778240837,-0.196035246214007,0.111222794734501,0.239481506337544,0.111210258661858,-0.0136805082094242,0.230148882600851,-0.0523349079027864,-0.592902836449576,-0.0542820542047773,-0.048430303581084,-0.172082560854518,-0.0987995294285279
"ACH-000009","C2BBE1",-0.281626249643838,0.199170607427105,0.000532719121839983,-0.330193344910327,-0.0672267960689685,-0.119123428425512,-0.0205033037501058,0.190547674945202,-0.0332143886840753,0.111983397080049,-0.231403896881023,0.0930001563085687,-0.00202684551521476,0.0744685423981261,0.0659018587190862,-0.0403169645399032,-0.0034145849346662,0.12103864340907,0.0450499297458104,-0.0570269135277519,0.0300719027801319,-0.143342645134431,0.0611489969286822,-0.384042735821002,-0.156324814942632,0.153730474730933,-0.192280333682582,0.19871127043399,0.0538925539476672,-0.00125740866762087,-0.1794342217562,0.183669148617938,-0.0443192652730166,-0.0788789276881726,0.0318451993237776,0.0770413828780417,-0.0410318902789585,0.0153449591001786,0.0471303695277899,-1.83993951400111,-0.342566490592694,-0.0535404109779328,0.199937289856868,-0.645556795217068,-0.065485623287552,-0.626944853121822,-0.0601391248917744,0.0437344012647449,-0.145455824064189,0.0563220340333713,-0.262534301442828,-0.0503946356927104,0.262396383727167,-0.0452223612439803,0.0693778180106615,0.10692481533504,-0.0261332349711197,-0.0497302277768687,0.206308038302517,0.164802559748794,-0.643947541838312,0.0631846515544012,-2.54112179119007,0.0125552064158955,0.0704766668099125,0.00567228324239238,-0.153912277568496,-0.0573182179230253,-0.0318720594014423,-0.0660973565165241,-0.139312384783355,0.0571558507215674,-0.417291173237192,0.167233630925922,0.00624121598072508,-1.65118273993011,0.192554650569075,-0.00695463363133926,0.0417599367797266,-0.0465428609993366,-0.274519300284602,0.0290372955947957,-0.100319988349884,0.125375501018933,0.0868110925741704,0.146828645153324,-0.0191134169448747,-0.787994878364477,-0.0141526077523527,-0.0254507131413198,0.00977756079988276,-0.112623250862305
"ACH-000011","253J",-0.263714165412315,0.101101606039402,-0.084644313831176,-0.366427654252572,0.011857338528265,0.134187338423872,0.0926671576526264,-0.000294999130595198,0.0629837064594262,0.121476604817753,-0.0111060862588778,0.0885260169120725,-0.546398649535099,0.0215352735896112,0.130374395227368,-0.281583790156312,0.136913565492782,-0.0509588507701598,-0.00420433690923641,-0.372604709767274,-0.01697545820133,-0.105765373197967,-0.0449645790948005,-0.450602310990961,-0.196535565488609,0.301110003356211,0.00953807752961065,0.285529928424398,0.0230344588130501,0.0486588337522262,-0.0753258991220871,0.0752349352257518,-0.0510603945229008,0.017822568442259,-0.0441803292543198,0.0574739548975326,-0.0741896947478104,0.149234322860217,0.129627642089973,-1.64186604514709,-0.466327929933051,0.0951922434218753,0.031538424273584,-1.12773603514477,0.0296905192547008,-0.128638082956242,-0.0818808989381184,-0.120794017104792,-0.473639849460614,0.249728643919112,-0.266987981122808,0.127258060696534,0.0957469173637913,0.0306007669471208,-0.439988433559426,0.0207832105143356,0.0166442831728957,-0.137894851213423,0.0434626954440023,0.0957456867705819,-0.587439187936611,-0.141277821636549,-1.26392904814351,0.11091177391375,0.503195526084806,0.21940040795031,-0.26376438804636,-0.382299433589618,0.087581182140475,0.0236302300714715,-0.355930512525926,-0.0639679196751086,-0.118147993538927,0.0900040832822137,-0.0548267463631014,-1.39612694938871,0.162129606234475,-0.109554237869436,0.135881746105223,0.106082939290601,-0.378928927439174,0.0995156213606858,0.167477073291707,0.0713613012429205,-0.0909581687276801,0.289858164044055,-0.126993442211605,-0.651274728402395,-0.0657669106499937,-0.222528087848587,-0.320471684608155,-0.0986735377648201
"ACH-000012","HCC827",-0.073530454693462,0.0516460258659432,0.0424484885103125,-1.19347996064889,-0.0526849899156861,-0.118987916614017,-0.116617868131793,0.0699249832195133,0.208843667397533,0.0782720737870549,-0.193029260921069,0.0961704626985141,-0.0797554640319221,-0.0656515677540703,0.045846281994949,-0.0628973165041125,0.194797767217337,-0.0943414840204237,0.0916316886360621,-0.155632829293152,-0.110776637150267,0.0938410281800704,-0.0586772800798642,-0.222495046395962,-0.0757141887255458,0.237328107244167,0.0368057296290803,0.453655305976826,0.00792699912202743,-0.0738165177262519,-0.0457029345035059,0.206308441483325,-0.149935737954003,0.0444283781850731,-0.133682188832071,-0.0532070264728793,-0.0379317135154557,0.0558049631253185,0.145445486289182,-1.99063038116352,-0.34454687894017,-0.126194001466515,0.0921259480872523,-0.709740729871855,0.0227050198276755,-0.597834887125673,-0.122583186717664,0.0299464255635827,-0.137801460695879,0.0563718413456773,-0.183260311645907,-0.065577058006035,0.0601334716694819,0.0430303280510021,0.125258146566394,-0.00164475553126367,-0.0628571836044702,-0.0318800285737603,0.226532529580315,0.105444665599423,-1.00929428407118,-0.0532597152378527,-2.35177226868049,0.0660173992961219,-0.0144339826432267,-0.256825117611959,-0.113978034967893,-0.0292581115346114,0.0631298826726469,-0.0359120715679748,-0.256755209417116,0.0017062106595885,-0.271245460781991,0.164995943752732,0.0441718863366077,-1.49513923847687,-0.010203577362003,-0.124492922959487,0.0246612740367059,-0.127344143605358,-0.0560187912586282,-0.0110895504364392,-0.119468139820952,0.0914405741228723,-0.00751196251228315,0.125527963217747,0.0891015547049811,-0.649930759245662,0.0603121260545799,0.0783348415856694,-0.0825461749354466,0.0201620074392233
"ACH-000013","ONCODG1",-0.310623205719554,0.102702943699926,0.122592972349018,-0.337360187015109,-0.150661431920383,0.0508721763783656,0.195650617674935,0.0443250504038395,0.165204420755477,0.0603407687475945,-0.221634955456917,0.119529368862637,-0.0462869565901945,-0.196854965028861,0.102423807989005,0.00127067272099299,-0.000696384183020989,-0.0376036442222469,-0.0758785108620306,-0.272112930190747,-0.173175943966178,0.0749532416692314,-0.0995821283451348,-0.593496532119641,-0.0345030041823489,0.09643478272227,-0.0695683604628107,0.2977381202847,0.0824191946384735,-0.0670786855566012,0.0859185033498604,0.0573889028855466,-0.322581285657093,0.000579473226442636,-0.213061940117647,0.118124247063493,0.0604576799083704,-0.0955200085769946,0.0534892209214098,-1.95933094448991,-0.386165950302885,-0.138197377752066,0.197061463652338,-0.812087765568736,-0.00875594982236743,-0.734063752492173,-0.0802403350829118,-0.0880173887312868,-0.238227348682351,-0.0121714168019066,-0.201204556676163,-0.0804957945480756,0.221007215586095,-0.0943953326210707,-0.186823191511101,-0.142124306860407,-0.0236182277465866,-0.350394381135769,0.0631724344921858,0.133764737127248,-1.18203471633455,0.101131292085997,-2.41541278635081,-0.0103118694892379,0.0327239037673786,0.0786697932989582,-0.316008001542185,-0.240270344410406,0.1698735141437,-0.0290993283654517,-0.325765100594027,0.0085214103565501,-0.047133258838188,0.114790943273829,-0.022109602784613,-1.85013156955296,0.052480626927269,0.179063028183571,0.138495027723644,-0.115130932590686,-0.189703278719941,0.0209629958834044,-0.0316502164023034,-0.0757898452217252,-0.0367714361080418,0.081507873841716,-0.135462876124108,-0.928715677994779,0.069194702290459,0.132248826634137,-0.329903695696387,-0.00414293355693492
"ACH-000014","HS294T",-0.0907824627702701,0.283025107229612,-0.0177675878876531,-0.753153390795757,0.232518895809971,0.057872279071993,-1.71501052329328,-0.0432725309905686,-0.0803122404067639,0.0802066000042731,-0.12046623131578,-0.0284407927479578,-0.390978593019568,0.0822498406114004,0.0640357061765743,-0.289098798172286,0.0746106899801278,-0.125384357284776,0.141088103534745,-0.136480877262069,-0.0986704150062726,-0.813286097387897,0.0619118685616829,-0.203578452057956,-0.171189716298463,0.189166598327624,-0.242841392678299,0.417709557183711,0.071998860095406,0.0035142803441752,-0.102829483704397,-0.0158095996596108,-0.230748861866448,-0.247202472395342,0.00271885212551926,0.162648547794855,-0.0283680534041393,0.187621511902131,0.074200268663598,-1.86540917377899,-0.546591187902185,-0.192830748836846,0.231693138680091,-0.717806845818291,0.0939853958589501,-0.859591228730263,-0.0423108957053268,-0.0437913456434525,-0.247792842798871,-0.0530172997496475,-0.133248549835439,0.00566832613652286,0.0238508229982217,-0.115086389430413,-0.253754252347724,-0.353992449803551,0.109907753414157,0.00790083656034489,0.199885286627146,0.194551951664246,-0.724495370371581,0.00147473234620932,-2.31911839717505,-0.0194799060636944,0.0694839976373698,-0.0135818253179061,-0.266654474209637,-0.385720902081261,0.0172243151477623,-0.121943395469783,-0.568642042861141,-0.11815627067852,-0.0318682106286653,0.0966450528067743,-0.130714868140508,-1.64244813738845,-0.0228597585776978,-0.17512379705928,-0.0559957777798448,0.0147191814042176,-0.228117081137125,-0.0170612242200084,0.111454949829215,0.271115978512674,0.103785041650338,0.209933424973734,-0.135694569253747,-0.688169836895168,0.0841662101142297,0.0262890857085269,-0.0396205406928507,0.0148412414342394
"ACH-000015","NCIH1581",-0.119270730754516,0.0617996097450654,0.0756228305818671,-0.504687884866999,0.0148351507293142,0.00858185900630249,-0.372831261046108,0.108152738920515,0.132345052360414,0.0624366461344623,-0.117502682003538,0.168629064377729,-0.106669468767019,-0.140481658453753,-0.0548409779800846,-0.4155098035471,0.0141798056410941,-0.0847383815851566,-0.151020657690795,-0.0576272071055392,-0.0135283952465239,-0.534409182377893,-0.0446494417010832,-0.520563188690893,-0.033106394443836,0.145747663472179,-0.265172306204798,0.170672785778875,0.00628740380725754,0.0523599977603054,0.0298854669821832,0.116378011730897,-0.0806295626610772,-0.0576914461913642,-0.109912974332132,0.0539062790607614,0.137271437470316,0.0602025192085457,0.256683311573425,-1.49189590905852,-0.222178603282426,-0.303214681579414,0.0521575759768875,-0.985460074347213,-0.04863859581716,-0.990544907683103,-0.202611910730598,-0.0383194973502549,-0.178628560817755,0.00312087410437371,-0.0947769762244968,0.0880172508595984,0.047209440224851,-0.0173271536161336,-0.0410137494600859,0.0342073677430525,-0.128635708062318,-0.218145136699031,0.00800417159059403,0.168934667864145,-1.04517953777974,-0.111953932682037,-2.76571944494659,-0.0437669735628844,0.145864472264,-0.0194646649432919,-0.230097421095417,0.0149101103691238,0.214037766336854,-0.040824757082413,-0.287817743392527,0.0335240723230521,-0.393281177854767,-0.0528836266240274,0.0666783745623463,-1.67497443458151,0.244800204984155,-0.197331005223048,0.152061205470489,0.0291042112605502,-0.256907931199871,0.0482863950709405,0.148429818226216,0.0585039266708456,0.0372791987986479,-0.134414717372607,-0.0358250036036778,-0.773149756546891,0.0490174605798432,-0.108358217686478,-0.298406549304892,-0.0378683678547918
